category,scientific_name,common_names,conservation_status,park_name,observations
Vascular Plant,Abies bifolia,Rocky Mountain Alpine Fir,,Bryce National Park,109
Vascular Plant,Abies bifolia,Rocky Mountain Alpine Fir,,Yellowstone National Park,215
Vascular Plant,Abies bifolia,Rocky Mountain Alpine Fir,,Great Smoky Mountains National Park,72
Vascular Plant,Abies bifolia,Rocky Mountain Alpine Fir,,Yosemite National Park,136
Vascular Plant,Abies concolor,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",,Great Smoky Mountains National Park,101
Vascular Plant,Abies concolor,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",,Bryce National Park,83
Vascular Plant,Abies concolor,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",,Yellowstone National Park,241
Vascular Plant,Abies concolor,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",,Yosemite National Park,205
Vascular Plant,Abies fraseri,Fraser Fir,Species of Concern,Bryce National Park,109
Vascular Plant,Abies fraseri,Fraser Fir,Species of Concern,Great Smoky Mountains National Park,81
Vascular Plant,Abies fraseri,Fraser Fir,Species of Concern,Yosemite National Park,110
Vascular Plant,Abies fraseri,Fraser Fir,Species of Concern,Yellowstone National Park,218
Nonvascular Plant,Abietinella abietina,Abietinella Moss,,Yosemite National Park,183
Nonvascular Plant,Abietinella abietina,Abietinella Moss,,Great Smoky Mountains National Park,65
Nonvascular Plant,Abietinella abietina,Abietinella Moss,,Bryce National Park,101
Nonvascular Plant,Abietinella abietina,Abietinella Moss,,Yellowstone National Park,243
Vascular Plant,Abronia ammophila,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern,Yosemite National Park,137
Vascular Plant,Abronia ammophila,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern,Great Smoky Mountains National Park,72
Vascular Plant,Abronia ammophila,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern,Bryce National Park,92
Vascular Plant,Abronia ammophila,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern,Yellowstone National Park,222
Vascular Plant,Abutilon theophrasti,Velvetleaf,,Bryce National Park,84
Vascular Plant,Abutilon theophrasti,Velvetleaf,,Yosemite National Park,138
Vascular Plant,Abutilon theophrasti,Velvetleaf,,Great Smoky Mountains National Park,85
Vascular Plant,Abutilon theophrasti,Velvetleaf,,Yellowstone National Park,262
Vascular Plant,Acalypha gracilens,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",,Great Smoky Mountains National Park,98
